symbol,price,change_abs,change_rel_percent,volume,avg_vol_three_month,market_cap,pe_ratio_ttm
PLUG,4.69,0.24,+5.39,87.847,45.985,2.84B,
NYCB,6.28,-0.19,-3.01,79.062,10.811,4.531B,1.94
TSLA,187.65,0.36,+0.19,59.496,117.491,597.626B,43.54
SOFI,7.78,-0.05,-0.70,51.822,50.784,7.587B,
AMD,167.69,0.0,0.00,50.238,69.069,270.903B,310.54
T,18.08,0.39,+2.23,39.731,37.739,129.308B,9.18
MARA,18.47,0.74,+4.15,39.451,73.756,4.111B,
BAC,33.56,-0.45,-1.32,36.151,43.354,264.972B,10.90
NIO,5.68,0.06,+1.03,34.974,61.908,11.854B,
LCID,3.3509,-0.0291,-0.86,32.433,40.375,7.672B,
F,11.82,0.1,+0.87,28.557,51.13,47.324B,7.73
AMZN,157.77,2.57,+1.66,26.829,46.7,1.63T,82.60
PFE,27.03,-0.05,-0.18,25.625,44.827,152.623B,73.05
AAPL,186.3,1.9,+1.03,24.767,53.976,2.881T,30.34
PLTR,16.24,0.15,+0.90,23.425,57.087,35.327B,231.93
CCL,16.83,0.25,+1.48,23.549,31.242,21.978B,
KEY,14.06,-0.47,-3.27,22.183,15.973,13.163B,15.97
GOOGL,141.74,1.63,+1.17,21.968,27.964,1.772T,24.44
WBD,10.36,0.34,+3.44,21.631,22.924,25.276B,
NVDA,625.82,10.54,+1.71,21.464,42.324,1.546T,82.67
ESMT,23.05,-0.02,-0.09,22.244,1.704,3.88B,153.67
AAL,14.34,0.11,+0.74,20.082,36.842,9.379B,11.85
INTC,43.33,0.25,+0.59,18.839,42.592,183.22B,108.34
MSFT,404.34,6.76,+1.70,17.444,25.99,3.004T,36.59
WFC,48.94,-0.9,-1.80,15.442,17.697,176.11B,10.13
NU,8.94,0.34,+3.89,15.763,28.838,42.533B,127.79
BCS,7.66,0.12,+1.53,15.308,16.111,29.387B,4.45
RIVN,15.53,0.22,+1.47,15.354,36.597,14.878B,
ERIC,5.52,0.01,+0.18,14.855,12.959,18.894B,
HBAN,12.52,-0.2,-1.61,14.557,16.108,18.14B,10.10
GOOG,143.18,1.38,+0.97,14.213,21.145,1.769T,24.69
QCOM,142.04,-6.47,-4.36,13.93,8.887,158.632B,21.78
TFC,37.49,0.43,+1.17,13.034,9.353,50.009B,
NXT,54.92,9.65,+21.31,12.712,3.165,7.944B,26.79
C,55.81,-0.35,-0.63,12.007,18.997,106.222B,13.82
RUN,14.86,0.38,+2.62,11.854,14.207,3.238B,
RIOT,11.22,0.32,+2.93,11.639,30.119,2.317B,
PBR,17.33,0.26,+1.55,11.877,15.079,112.421B,4.21
ITUB,6.62,0.03,+0.43,11.327,14.735,64.95B,10.04
GOLD,15.86,0.26,+1.67,11.171,16.955,27.965B,528.67
OPEN,3.51,0.09,+2.63,11.004,21.786,2.352B,
AFRM,39.14,-1.37,-3.39,11.006,20.317,11.809B,
TEVA,12.38,0.28,+2.27,10.542,9.908,13.872B,30.18
ET,14.48,0.18,+1.29,10.701,14.426,48.704B,13.66
VZ,42.46,0.11,+0.25,10.419,21.505,178.485B,15.44
META,395.45,5.3,+1.36,10.276,16.207,1.016T,34.84
GM,38.92,0.12,+0.32,10.361,20.949,44.936B,5.32
MO,41.42,1.3,+3.24,10.088,9.082,73.257B,8.45
FLEX,24.66,0.92,+3.88,10.025,4.557,10.688B,14.59
